"ISO3","GDP_USD_Mean","Population_Mean","Health_Exp_Percent_Mean","Polity_Score_Mean","Inactivity_Adolescents_Mean","GDP_per_Capita_Mean","Health_Exp_USD_Mean","Log_Pop_Mean","Log_GDP_Cap_Mean","Is_Host_2024"
"IDA",2487817195860.03,1753037914.45455,3.90355199985606,NA,NA,1416.31415504017,55.0200634781542,21.2822916452654,7.25485523021012,0
"IDB",1128311618843.23,615131424.727273,3.59870317761712,NA,NA,1839.6767426354,67.72619652927,20.235390612431,7.5146721272726,0
"IDN",1108424692516,271833945.181818,3.04238253111111,9,86.3633333333333,4062.81769812926,117.99936074748,19.4203006239337,8.30056190178064,0
"IDX",1361517156122.35,1137906489.72727,4.19282819012411,NA,NA,1188.30382017895,48.1870581151639,20.8499189974743,7.0754227286834,0
"IMN",7274746088.58673,83904.4545454545,NA,NA,NA,86756.6275162261,NA,11.3374298455268,11.3695157807494,0
"IND",2851538785456.34,1385349359.18182,3.27346139444444,9,74.1133333333333,2047.64252613538,62.5623535614494,21.0487199996911,7.60947136355444,0
"IRL",424658807979.009,4988669.72727273,7.15334468555556,10,72.0466666666667,84323.0381758509,5580.33522350579,15.4215891942527,11.3195246792578,0
"IRN",403054933075.601,86728150.6363636,6.69397242888889,-7,NA,4662.15642518459,318.653891385019,18.2776436960171,8.43187278895115,0
"IRQ",221512711853.965,41249981.8181818,4.25495719888889,6,85.02,5347.73908507038,218.316677827524,17.5325447633757,8.57335750654257,0
"ISL",24805481606.649,360842.636363636,8.772217752,NA,80.3166666666667,68219.8061303323,5872.49052883691,12.7939022793692,11.1204414272893,0
"ISR",414017191198.505,9069027.27272727,7.27285263111111,6,84.6266666666667,45268.7470294274,3175.89911954919,16.0184894737523,10.7097184801443,0
"ITA",2078517627116.32,59646428.6363636,8.898047351,10,88.5,34864.5653942915,3053.36515396934,17.9039068640554,10.4557089881972,0
"JAM",15768837109.1767,2822896,6.25484911777778,9,NA,5583.5332669563,332.038948293516,14.853259090419,8.61999260554494,0
"JOR",44364702548.0154,10535560.4545455,7.10634099111111,-3,84.77,4202.16322013089,293.18343712187,16.1671953804521,8.34238383868076,0
"JPN",4730033854312.83,126133509.363636,10.9249566388889,10,NA,37483.0597058898,4198.73671158922,18.652813820943,10.5286372411209,0
"KAZ",201348407199.638,19203751.9090909,3.27924230444444,-6,NA,10443.3926797655,320.158154992503,16.769564253212,9.23767543168351,0
"KEN",95016976192.9847,51213478.2727273,4.47432165555556,9,86.8533333333333,1840.67544851991,79.670604251541,17.7494839575369,7.50882370151718,0
"KGZ",9874393708.17015,6576328.36363636,5.73262522111111,7.4,NA,1479.73512378686,73.5482484438265,15.6969368710803,7.2658428969272,0
"KHM",33840923495.9863,16515109.8181818,4.83706511555556,-0.4,91.5,2034.07140822172,93.4238611273112,16.6188598270516,7.60134111470043,0
"KIR",240396542.721523,124444.727272727,10.1825589611111,NA,82.5533333333333,1922.3587887881,190.065647489686,11.7303823087376,7.55505465769479,0
"KNA",1000336363.63636,46927.6363636364,5.34133158777778,NA,82.35,21315.8766908019,1118.28583590012,10.7563577193837,9.96413827106172,0
"KOR",1629953220395.12,51493930.0909091,7.938386393,8,94.09,31658.3995861692,2529.39983961273,17.7569520760059,10.3608571417125,0
"KWT",141394800053.057,4327567.72727273,4.77467608444444,-7,84.3566666666667,32720.3966393902,1520.23068252563,15.2765990294923,10.3837103790938,0
"LAC",5000212960864.69,571439070.454545,7.89400142091629,NA,NA,8744.32564775305,662.233555513633,20.1633017961743,9.06945045262054,0
"LAO",16654119423.2514,7235544.81818182,2.36781250111111,-7,84.54,2301.75405992194,55.7557925056532,15.7934100052593,7.73645009939254,0
"LBN",40462213144.6661,5984165.81818182,7.28867350777778,6,82.1333333333333,6680.80399190601,532.988102949184,15.6035836909101,8.74478578941506,0
"LBR",3619493163.63636,5064057.45454545,10.9932531777778,6.2,NA,712.581547744859,75.5831866428762,15.4355626501945,6.56529637062549,0
"LBY",53286475447.6657,6929192.36363636,5.57974052444444,0,83.2033333333333,7736.39492666946,442.349271250798,15.7502733961803,8.92363837140209,0
"LCA",2024416161.61616,177299.181818182,4.86194833,NA,84.3466666666667,11408.9304945787,521.945345667084,12.0855444424594,9.33190575783522,0
"LCN",5966968210674.88,639204694.545455,7.9463706564318,NA,NA,9328.60594431151,711.117311896609,20.2754438200135,9.13434181586547,0
"LDC",1181689557824.42,1060393081.63636,3.96895371809524,NA,NA,1107.28039233682,42.7005686948011,20.7791624850072,7.00531830503535,0
"LIC",373490392156.869,546900534.636364,5.58338462780923,NA,NA,683.020402078022,37.634166082982,20.116039790415,6.52324034506029,0
"LIE",6875111850.21678,38622.9090909091,NA,NA,NA,178515.293180685,NA,10.5613059256722,12.0891477025883,0
"LKA",87559249306.9483,21644727.2727273,3.78806723333333,5.4,85.21,4047.26201449362,151.644793670489,16.8900462084759,8.30274033688904,0
"LMC",6307034166174.64,2925523692.36364,3.7798489362867,NA,NA,2146.33516161161,78.3144510346276,21.7958165045094,7.66579423633209,0
"LMY",31305838752608.7,6229639269.54545,5.27777770834501,NA,NA,5005.50802572415,253.923681872569,22.5519489946866,8.51124154677756,0
"LSO",2307198412.97354,2208864.90909091,11.7973484466667,8,NA,1046.60909499166,126.28958537881,14.6073040945613,6.94989889187371,0
"LTE",23837718510940.2,2298092652,5.69724130515291,NA,NA,10355.3278460066,563.006396473638,21.5552651590898,9.23326775853072,0
"LTU",59100110324.8636,2855331.18181818,6.905179548,10,80.1333333333333,20714.8728116688,1386.80652507585,14.8645882486083,9.9108072564298,0
"LUX",74490335708.8642,618177.909090909,5.402270652,10,79.3466666666667,120029.672904313,6408.39549362802,13.3326414934294,11.6916165131493,0
"LVA",34104387935.0919,1919845.27272727,6.67296621555556,8,80.09,17829.3170544913,1135.1938626169,14.4675180492622,9.77200133402203,0
"MAC",43906992018.5474,664309.090909091,NA,NA,NA,66425.0475596398,NA,13.4060403851846,11.0613362277155,0
"MAF",691444587.309784,33033.7272727273,NA,NA,NA,20446.7329225855,NA,10.3971666479861,9.92415605739056,0
"MAR",128099575381.392,36181297,5.25959364555556,-4,87.19,3533.59850934107,181.231529721486,17.4034816838656,8.16727780074703,0
"MCO",7495390954.78003,37927,4.03468357222222,NA,NA,197579.166957346,7655.99699318199,10.5431591971237,12.1848126441578,0
"MDA",12031311774.9231,2657295.09090909,7.41965341444444,9,75.7266666666667,4610.31192354738,295.592540197225,14.7912635834428,8.38320212676554,0
"MDG",13887103657.5242,28276058.6363636,4.15602427222222,6,NA,489.871810981973,19.9342247567109,17.1542613090927,6.19245023994353,0
"MDV",5171989719.91265,481851.545454545,9.15486055,NA,82.0066666666667,10664.2645914501,922.23896966948,13.0819545596311,9.26251395499072,0
"MEA",4141410941633.94,744653725.727273,5.30184809411733,NA,NA,5546.14979852012,285.996428744298,20.4269134335891,8.61690844522205,0
"MEX",1362889493056.67,125500523,5.53113842111111,8,83.2233333333333,10832.3368112365,559.897317884979,18.6474418291997,9.2792071652538,0
"MHL",230168894.929982,43877.3636363636,13.3105098944444,NA,NA,5351.00834297234,656.396460347376,10.6850777204374,8.56031576908148,0
"MIC",30930769830270.1,5682738734.90909,5.27433414738025,NA,NA,5423.59423560024,274.434159885616,22.4602251142401,8.59081026591493,0
"MKD",12858029453.8256,1867746.81818182,6.98342725888889,9,78.49,6908.69569842476,455.507057462401,14.4400189141248,8.82569707277018,0
"MLI",20518698428.5774,21140986.5454545,3.80203453777778,5,NA,965.0450095991,35.805019985495,16.8620363177176,6.86961669619163,0
"MLT",16710266054.6369,498088.454545455,9.30579471444444,NA,81.47,33107.9760557312,2926.08184762046,13.1147288272462,10.3945141814764,0
"MMR",67805230513.7401,52624416.7272727,4.94146765444444,4.6,86.81,1288.12728939083,63.1344784219483,17.7784298854521,7.15813150776955,0
"MNA",1905666206206.01,681429868.454545,5.21900849918061,NA,NA,2798.10442968832,145.397662214732,20.3382171537963,7.93478255279226,0
"MNE",5581133209.09937,625046.818181818,9.24538405777778,9,NA,8930.92538465661,757.634574006961,13.34557997928,9.0746692553537,0
"MNG",14868193769.4298,3259476.18181818,5.23543569777778,10,78.88,4520.79210287755,221.812209216031,14.9955432619925,8.39804168338833,0
"MNP",1098666666.66667,48330.5454545455,NA,NA,NA,22392.1910889931,NA,10.7844858096136,9.9950023064662,0
"MOZ",16609901617.8344,30014293.5454545,7.66000307888889,5,87.1433333333333,552.509032065723,40.6266419995603,17.2128234661536,6.30412864644946,0
"MRT",8162390658.82012,4483600.09090909,3.44314959444444,-2,87.27,1804.20440997738,60.154467355354,15.3115965521081,7.49243891164653,0
"MUS",13219554522.2387,1263609.45454545,5.76736482111111,10,82.37,10462.3703861912,587.932853284427,14.049481256262,9.25124512311451,0
"MWI",10554808094.1837,19069823.0909091,7.04432037111111,6,NA,551.311557217881,38.6716700273509,16.7601320196076,6.30777255810982,0
"MYS",356752465954.269,33270658.9090909,3.87884455333333,5.4,86.22,10698.0127388266,407.326037108018,17.3191075882746,9.27499696484957,0
"NAC",24076131848986.9,367379054.636364,16.4833696379296,NA,NA,65346.1230078799,10213.7902628938,19.721682976078,11.0775106633603,0
"NAM",12268001918.27,2662047.63636364,8.96049616111111,6,87.4066666666667,4634.05130467681,420.648435381596,14.790809234354,8.43634829218505,0
"NCL",9532579084.93224,285230,NA,NA,NA,33580.6361214314,NA,12.5609885470657,10.4197852379175,0
"NER",13471597752.3869,23012403.3636364,5.24627192888889,5.4,NA,579.527930091889,29.2477187127474,16.9458038390986,6.35638296381866,0
"NGA",422354910477.135,209357295.818182,3.56996395777778,6.4,NA,2047.64835893819,79.4432696202253,19.1570737313535,7.57982314028178,0
"NIC",14318473419.8162,6484450.72727273,8.49470509333333,7.2,NA,2199.7837823252,177.092297753019,15.6840740073252,7.68888344665609,0
"NLD",963346662089.289,17371810.8181818,10.4072832522222,10,80.19,55327.9265556546,5509.94942276728,16.6701462150661,10.9137661932271,0
"NOR",449555041770.111,5348538.72727273,9.96646118222222,10,83.53,83971.7069875439,8189.04096799985,15.4920397457686,11.3286221665106,0
"NPL",33035390862.0873,28678105.4545455,5.20531129888889,6.2,83.45,1146.67251374987,56.8767929631801,17.1712637609105,7.02698570270585,0
"NRU",128102189.670136,11473.5454545455,12.1403331755556,NA,86.78,11107.0536047922,1311.5611641898,9.34726631516713,9.29666991607797,0
"NZL",221138998164.814,4948681.81818182,9.50608878666667,10,88.6366666666667,44553.3112994756,4155.73263440619,15.4133327330019,10.7010534930644,0
"OED",55514194684760,1360877661.36364,12.6556052316522,NA,NA,40733.6202133559,4970.21528564929,21.0312615071799,10.6100476010092,0
"OMN",90262418725.6177,4580789,3.86361893,-8,83.8233333333333,19692.1788949685,740.798464682486,15.3346635148283,9.88264834756007,0
"OSS",158311904742.335,12276514.5454545,7.01876660381341,NA,NA,12840.6474828038,863.882711123418,16.3225563501431,9.45179488314096,0
"PAK",330547016390.813,231786548.181818,2.76261509777778,7,86.88,1424.79303653733,39.4263132295504,19.2599875557313,7.25950441730417,0
"PAN",67153623045.4545,4217842.18181818,7.96282063666667,9,NA,15852.1945278625,1208.62496393537,15.2537357849673,9.66403282437749,0
"PER",224947550227.664,32240437.0909091,5.44053040666667,9,84.7166666666667,6956.14724995882,364.170392187311,17.2878619020998,8.84272478476749,0
"PHL",366687952468.857,110371538.636364,4.50371666,8,93.3233333333333,3310.75105439058,147.696697749259,18.5187537440993,8.09943578082959,0
"PLW",270857660,17769.2727272727,11.8675270077778,NA,79.16,15235.7830928786,1786.19320668248,9.78522361857185,9.62868257645851,0
"PNG",25660194385.5253,9582599.09090909,2.39292709,5,NA,2666.00987645808,62.2899128984775,16.0731270284974,7.88386791393576,0
"POL",630813134101.543,37494945.5454545,6.511562253,10,78.89,16877.7709047519,1048.61995578321,17.4395973886623,9.71037734441916,0
"PRE",1402552797683.55,973672613.272727,4.14882792188219,NA,NA,1445.6747742597,60.5897493753954,20.69301258636,7.27146929786675,0
"PRI",107936884181.818,3343305.36363636,NA,NA,NA,32388.0408903668,NA,15.0217194891234,10.380764620025,0
"PRT",243586184875.422,10393457.1818182,9.842953681,10,84.2866666666667,23409.6181305185,2258.39573420962,16.1566124708634,10.0540090447017,0
"PRY",39521741267.3862,6507347.63636364,7.10615317,9,83.53,6072.97897164073,426.390271823854,15.6875699832302,8.71002151271607,0
"PSE",16115527272.7273,4704030.27272727,9.62415218444444,NA,NA,3431.90222276882,338.90366875873,15.3610732575742,8.13618711651826,0
"PSS",10209341467.0633,2567958.18181818,5.43006397707271,NA,NA,3972.13526691811,211.176201883997,14.7579242254207,8.28521944193694,0
"PST",52186338159060,1111746693.81818,13.1160496431685,NA,NA,46902.7295325327,5928.71220897841,20.8291568742855,10.7506349675325,0
