IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,TUR,Türkiye,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.05,,,73.74,,80.05,77.0 [73.7-80.0],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,UKR,Ukraine,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.02,,,73.74,,80,77.0 [73.7-80.0],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,BLZ,Belize,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.01,,,74.12,,79.66,77.0 [74.1-79.7],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.15,,,73.89,,80.1,77.1 [73.9-80.1],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ESP,Spain,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.13,,,74.46,,79.61,77.1 [74.5-79.6],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AFR,Africa,Country,MUS,Mauritius,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.17,,,73.62,,80.38,77.2 [73.6-80.4],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.32,,,66.26,,85.58,77.3 [66.3-85.6],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,BRB,Barbados,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.43,,,74.24,,80.34,77.4 [74.2-80.3],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.55,,,74.25,,80.53,77.5 [74.3-80.5],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,SVK,Slovakia,Year,2013,false,Sex,Female,SEX_FMLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,77.81,,,74.27,,80.98,77.8 [74.3-81.0],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.06,,,74.81,,81,78.1 [74.8-81.0],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.08,,,75.32,,80.61,78.1 [75.3-80.6],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.17,,,74.92,,81.1,78.2 [74.9-81.1],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,PRT,Portugal,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.16,,,75.36,,80.73,78.2 [75.4-80.7],,,EN,2019-11-14 00:00:00
