"ISO3","Year","GDP_USD","Population_Total","Health_Exp_Percent_GDP","Polity_Score","Inactivity_Adolescents_Percent","Is_Host","GDP_per_Capita","Health_Exp_per_Capita_USD","Log_Population","Log_GDP_per_Capita"
"RWA",1981,1407062526.91521,5527230,NA,-7,NA,0,254.569201374868,NA,15.525197343845,5.53957271012913
"RWA",1982,1407243139.2545,5711549,NA,-7,NA,0,246.385549568865,NA,15.5580008233017,5.50689758370935
"RWA",1983,1479687586.94292,5905311,NA,-7,NA,0,250.568951735636,NA,15.5913626734579,5.5237341390785
"RWA",1984,1587413083.9206,6107627,NA,-7,NA,0,259.906684530768,NA,15.6250488760034,5.56032266094259
"RWA",1985,1715626330.59472,6317228,NA,-7,NA,0,271.578979038705,NA,15.6587910623117,5.60425299592455
"RWA",1986,1944710683.87148,6531881,NA,-7,NA,0,297.725981822308,NA,15.6922055149029,5.69617353939758
"RWA",1987,2157432667.61598,6749493,NA,-7,NA,0,319.643663252333,NA,15.7249779489166,5.76720682299726
"RWA",1988,2395492686.78165,6968071,NA,-7,NA,0,343.781325819104,NA,15.7568489869,5.8400057744843
"RWA",1989,2405022593.05165,7184706,NA,-7,NA,0,334.741963422254,NA,15.7874651580777,5.81335997658258
"RWA",1990,2550185679.08109,7375307,NA,-7,NA,0,345.773495134655,NA,15.8136480864424,5.84578392234934
"RWA",1991,1911600236.67461,7526966,NA,-7,NA,0,253.966902025944,NA,15.8340025969346,5.53720395154337
"RWA",1992,2029026961.55894,7683266,NA,-7,NA,0,264.083914517464,NA,15.8545552751429,5.57626691066086
"RWA",1993,1971525711.83511,7981132,NA,-7,NA,0,247.023318476014,NA,15.8925908140022,5.50948273895742
"RWA",1994,753636370.454545,6792352,NA,-6,NA,0,110.953668251372,NA,15.7313078313077,4.7091127110346
"RWA",1995,1293535193.49248,5674118,NA,-6,NA,0,227.971147849319,NA,15.5514256907508,5.42921907642647
"RWA",1996,1382334879.40812,6708764,NA,-6,NA,0,206.049114174849,NA,15.7189252892979,5.32811455869696
"RWA",1997,1851558197.31088,7755238,NA,-6,NA,0,238.749371368213,NA,15.8638790439994,5.47541434634465
"RWA",1998,1989343546.17594,8081681,NA,-6,NA,0,246.154673288384,NA,15.9051104534135,5.5059600915547
"RWA",1999,2157108262.84452,8147912,NA,-6,NA,0,264.743686829769,NA,15.9132722560741,5.57876213841729
"RWA",2000,2068836754.37431,8213931,3.57583427,-4,NA,0,251.86926386091,9.00642745273515,15.9213421731712,5.52891015868841
"RWA",2001,1966600715.49841,8287094,3.31599975,-4,NA,0,237.308846200901,7.86916074674976,15.9302099228343,5.46936244130104
"RWA",2002,1966003468.49117,8400180,3.12787294,-4,NA,0,234.043016755733,7.32056818906223,15.9437636921554,5.45550493075207
"RWA",2003,2138237278.73822,8586875,6.92888737,-3,NA,0,249.012274982251,17.2537800709949,15.9657454326604,5.51750219236712
"RWA",2004,2376496067.01198,8816844,7.50856972,-3,NA,0,269.540446333402,20.2386323365427,15.9921745408198,5.59671845824749
"RWA",2005,2933819766.17656,9054528,7.72468948,-3,NA,0,324.016863847189,25.0292965950297,16.0187755220438,5.78079556334891
"RWA",2006,3319784538.73346,9299246,7.60937929,-3,NA,0,356.995022901154,27.1651053389711,16.0454438795679,5.8777218402291
"RWA",2007,4070507894.61656,9549933,7.86268663,-3,NA,0,426.234183487629,33.5134581575714,16.0720446967255,6.05498892172189
"RWA",2008,5179854064.57033,9804269,7.55979156,-3,NA,0,528.326391755503,39.940373973185,16.0983284610342,6.26971425892384
